"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Tags","ResourceName"
"E.MTAB.386_SumExp","Ovarian cancer gene expression data formatted as a SummarizedExperiment object and  used in, Angiogenic mRNA and microRNA gene expression signature predicts a novel subtype of serous ovarian cancer. PLoS ONE 2012","MetaGxOvarian/summarizedExperiments/v1/E.MTAB.386.rda","3.8","Illumina humanRef-8 v2.0","RData","https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-386/","Dec 25 2017","Homo sapiens",9606,FALSE,"Array Express","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","ovarian cancer expression","E.MTAB.386.rda"
"GSE2109_SumExp","Ovarian cancer gene expression data formatted as a SummarizedExperiment object and  from EXpression Project for Oncology, International Genomics Consortium, www.intgen.org  ","MetaGxOvarian/summarizedExperiments/v1/GSE2109.rda","3.8","Affymetrix HG-U133Plus2","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE2109","Dec 25 2017","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","ovarian cancer expression","GSE2109.rda"
"GSE6008_SumExp","Ovarian cancer gene expression data formatted as a SummarizedExperiment object and  used in, Lysophosphatidic acid-induced transcriptional profile represents serous epithelial ovarian carcinoma and worsened prognosis. PLoS One. 2009","MetaGxOvarian/summarizedExperiments/v1GSE6008.rda","3.8","Affymetrix HG-U133A","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6008","Dec 25 2017","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","ovarian cancer expression","GSE6008.rda"
"GSE6822_SumExp","Ovarian cancer gene expression data formatted as a SummarizedExperiment object and  used in, Discrimination between serous low malignant potential and invasive epithelial ovarian tumors using molecular profiling. Oncogene 2005","MetaGxOvarian/summarizedExperiments/v1/GSE6822.rda","3.8","Affymetrix Hu6800","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6822","Dec 25 2017","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","ovarian cancer expression","GSE6822.rda"
"GSE8842_SumExp","Ovarian cancer gene expression data formatted as a SummarizedExperiment object and  used in, Analysis of gene expression in early-stage ovarian cancer. Clin Cancer Res. 2008 Dec 1","MetaGxOvarian/summarizedExperiments/v1/GSE8842.rda","3.8","Agilent  G4100A cDNA","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE8842","Dec 25 2017","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","ovarian cancer expression","GSE8842.rda"
"GSE9891_SumExp","Ovarian cancer gene expression data formatted as a SummarizedExperiment object and  used in, Novel molecular subtypes of serous and endometrioid ovarian cancer linked to clinical outcome. Clin Cancer Res. 2008 Aug 15","MetaGxOvarian/summarizedExperiments/v1GSE9891.rda","3.8","Affymetrix HG-U133Plus2","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE9891","Dec 25 2017","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","ovarian cancer expression","GSE9891.rda"
"GSE12418_SumExp","Ovarian cancer gene expression data formatted as a SummarizedExperiment object and  used in, Expression analysis of stage III serous ovarian adenocarcinoma distinguishes a sub-group of survivors. Eur J Cancer. 2006 Nov","MetaGxOvarian/summarizedExperiments/v1/GSE12418.rda","3.8","SWEGENE H_v2.1.1_27k","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE12418","Dec 25 2017","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","ovarian cancer expression","GSE12418.rda"
"GSE12470_SumExp","Ovarian cancer gene expression data formatted as a SummarizedExperiment object and  used in, Gene expression profiling of advanced-stage serous ovarian cancers distinguishes novel subclasses and implicates ZEB2 in tumor progression and prognosis. Cancer Sci. 2009 Aug","MetaGxOvarian/summarizedExperiments/v1/GSE12470.rda","3.8","Agilent G4110B","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE12470","Dec 25 2017","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","ovarian cancer expression","GSE12470.rda"
"GSE13876_SumExp","Ovarian cancer gene expression data formatted as a SummarizedExperiment object and  used in, Survival-related profile, pathways, and transcription factors in ovarian cancer. PLoS Med. 2009 Feb 3","MetaGxOvarian/summarizedExperiments/v1GSE13876.rda","3.8","Operon v3 two-color","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE13876","Dec 25 2017","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","ovarian cancer expression","GSE13876.rda"
"GSE14764_SumExp","Ovarian cancer gene expression data formatted as a SummarizedExperiment object and  used in, A prognostic gene expression index in ovarian cancer - validation across different independent data sets. J Pathol 2009 Jun","MetaGxOvarian/summarizedExperiments/v1/GSE14764.rda","3.8","Affymetrix HG-U133A","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE14764","Dec 25 2017","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","ovarian cancer expression","GSE14764.rda"
